spring_1,spring_2,spring_3,fall_1,fall_2,fall_3,blended,number_of_students
Дискретная оптимизация,Промышленное программирование на языке Java,Дополнительные главы прикладной статистики,Безопасность компьютерных систем,Statistical Learning Theory,Матричные вычисления,,3
Компьютерные сети,Дополнительные главы прикладной статистики,Системы баз данных,Моделирование временных рядов,Сбор и обработка данных с помощью краудсорсинга,Безопасность компьютерных систем,,2
Компьютерные сети,Промышленное программирование на языке Java,Анализ данных в бизнесе,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Матричные вычисления,,2
Компьютерные сети,Промышленное программирование на языке Java,Дискретная оптимизация,Безопасность компьютерных систем,Высокопроизводительные вычисления,Язык SQL,,3
Компьютерные сети,Промышленное программирование на языке Java,Дискретная оптимизация,Язык SQL,Высокопроизводительные вычисления,Теория баз данных,,2
Машинное обучение 2,Компьютерные сети,Промышленное программирование на языке Java,Безопасность компьютерных систем,Теория баз данных,Язык SQL,,2
Обучение с подкреплением,Генеративные модели в машинном обучении,Компьютерное зрение,Байесовские методы машинного обучения,Анализ неструктурированных данных,Глубинное обучение в обработке звука,DevOps,2
Обучение с подкреплением,Компьютерное зрение,Генеративные модели в машинном обучении,Байесовские методы машинного обучения,Анализ неструктурированных данных,Сбор и обработка данных с помощью краудсорсинга,DevOps,2
Обучение с подкреплением,Конфликты и кооперация,Компьютерное зрение,Statistical Learning Theory,Анализ неструктурированных данных,Сбор и обработка данных с помощью краудсорсинга,DevOps,2
Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Компьютерное зрение,Высокопроизводительные вычисления,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,DevOps,2
Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Конфликты и кооперация,Безопасность компьютерных систем,Высокопроизводительные вычисления,Анализ неструктурированных данных,DevOps,2
Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Методы сжатия и передачи медиаданных,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,Моделирование временных рядов,DevOps,2
Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,Безопасность компьютерных систем,Матричные вычисления,Моделирование временных рядов,,2
Промышленное программирование на языке Java,Компьютерные сети,Системы баз данных,Безопасность компьютерных систем,Высокопроизводительные вычисления,Язык SQL,,2
Промышленное программирование на языке Java,Машинное обучение 2,Компьютерные сети,Сбор и обработка данных с помощью краудсорсинга,Язык SQL,Теория баз данных,,2
